candidate_id,date,label,tentative_category,brief,claimed_magnitude_usd_m,in_surviving_50,n_assets_moved_std,n_assets_moved_relaxed,n_assets_moved_strict,stage2_std_pass,stage2_relaxed_pass,stage2_strict_pass,stage2_nofilter_pass,final_disposition,rejection_reason
28,2020-10-01,BitMEX charges,Regulatory,DOJ charges BitMEX founders / CFTC suit,,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
29,2020-10-23,PayPal crypto,Infrastructure,PayPal enables crypto buy/sell for US users,,False,3,3,3,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
30,2020-11-25,OCC IL 1170 stablecoin,Regulatory,OCC IL 1170 permits bank stablecoin reserves,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
31,2020-12-01,ETH2 Beacon,Infrastructure,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),,True,5,5,5,True,True,True,True,RETAINED,
32,2020-12-22,SEC v Ripple,Regulatory,SEC sues Ripple over XRP sales,,True,5,5,5,True,True,True,True,RETAINED,
33,2020-12-23,FinCEN proposed rule,Regulatory,FinCEN proposes self-hosted wallet rule,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
34,2021-01-12,Russia crypto law,Regulatory,Russia 'On Digital Financial Assets' law effective,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
35,2021-01-27,FATF travel rule,Regulatory,FATF travel rule final guidance,,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
36,2021-02-08,Tesla buys BTC,Infrastructure,Tesla buys $1.5B in BTC for treasury,1500.0,True,6,6,6,True,True,True,True,RETAINED,
37,2021-02-25,MicroStrategy buy,Infrastructure,MicroStrategy adds ~$1B BTC,1000.0,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
38,2021-03-12,Beeple NFT $69M,Infrastructure,Beeple NFT auction at Christie's,69.0,False,3,3,3,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
39,2021-03-22,Visa USDC pilot,Infrastructure,Visa settles transaction with USDC,,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
40,2021-04-14,Coinbase listing,Infrastructure,Coinbase direct listing on Nasdaq,,True,6,6,6,True,True,True,True,RETAINED,
41,2021-04-18,Iran power outage,Infrastructure,China power outage cuts BTC hashrate,,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
42,2021-05-12,Musk Tesla halt,Infrastructure,Tesla halts BTC payments (env concerns),,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
43,2021-05-19,China mining ban,Regulatory,China mining crackdown announcement,,True,6,6,6,True,True,True,True,RETAINED,
44,2021-06-09,SV BTC legal,Regulatory,El Salvador passes Bitcoin legal tender law,,True,6,6,6,True,True,True,True,RETAINED,
45,2021-06-21,PBoC banks notice,Regulatory,PBoC orders banks to halt crypto services,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
46,2021-07-20,Tether transparency,Regulatory,Tether attestation publication CFTC fine,,False,3,3,3,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
47,2021-08-05,ETH EIP-1559,Infrastructure,Ethereum London hard fork (EIP-1559) activates,,True,2,2,2,True,True,False,True,RETAINED,
48,2021-08-10,Poly hack $611m,Infrastructure,Poly Network cross-chain hack (~$611M),611.0,True,5,5,5,True,True,True,True,RETAINED,
49,2021-08-19,Liquid hack,Infrastructure,Liquid exchange hack ($97M),97.0,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
50,2021-09-07,El Salvador BTC live,Regulatory,El Salvador BTC legal tender goes live,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
51,2021-09-08,Coinbase Lend SEC,Regulatory,SEC threatens Coinbase Lend with suit,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
52,2021-09-24,China crypto ban,Regulatory,China issues total ban on crypto transactions,,True,6,6,6,True,True,True,True,RETAINED,
53,2021-10-19,BITO ETF,Regulatory,First US Bitcoin futures ETF (BITO) launches,,True,1,1,1,False,True,False,True,RETAINED,
54,2021-11-14,BTC Taproot,Infrastructure,Bitcoin Taproot soft fork activates,,True,1,1,1,False,True,False,True,RETAINED,
55,2021-12-02,BadgerDAO hack,Infrastructure,BadgerDAO front-end exploit ($120M),120.0,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
56,2021-12-11,AscendEX hack,Infrastructure,AscendEX exchange hack ($77M),77.0,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
57,2021-12-13,Senate stablecoin hearing,Regulatory,US Senate stablecoin hearing,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
58,2022-01-05,Kazakh net off,Infrastructure,Kazakhstan internet shutdown hits BTC hash rate,,True,6,6,6,True,True,True,True,RETAINED,
59,2022-01-17,Crypto.com hack,Infrastructure,Crypto.com hack ($35M),35.0,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
60,2022-02-02,Wormhole hack,Infrastructure,Wormhole bridge exploit ($325M),325.0,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
61,2022-03-09,US crypto EO,Regulatory,US Executive Order on Digital Assets,,True,5,5,5,True,True,True,True,RETAINED,
62,2022-03-23,Ronin hack,Infrastructure,Ronin (Axie Infinity) bridge hack ($625M),625.0,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
63,2022-04-17,Beanstalk hack,Infrastructure,Beanstalk flash-loan exploit ($182M),182.0,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
64,2022-04-30,Fei/Rari hack,Infrastructure,Fei/Rari Capital exploit ($80M),80.0,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
65,2022-05-09,Terra/UST crash,Infrastructure,Terra/UST collapse triggers market contagion,40000.0,True,6,6,6,True,True,True,True,RETAINED,
66,2022-06-02,Optimism / Wintermute,Infrastructure,Optimism token mint exploit ($35M),35.0,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
67,2022-06-12,Celsius freeze,Infrastructure,Celsius freezes withdrawals; credit crisis unfolds,,True,6,6,6,True,True,True,True,RETAINED,
68,2022-06-23,Harmony bridge,Infrastructure,Horizon bridge (Harmony) hack ($100M),100.0,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
69,2022-07-05,Voyager bankruptcy,Infrastructure,Voyager Digital files bankruptcy,,False,3,3,3,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
70,2022-07-13,Celsius bankruptcy,Infrastructure,Celsius files Chapter 11,,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
71,2022-08-01,Nomad bridge,Infrastructure,Nomad bridge hack ($190M),190.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
72,2022-08-08,Tornado Cash sanction,Regulatory,OFAC sanctions Tornado Cash,,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
73,2022-09-15,ETH Merge,Infrastructure,Ethereum Merge: full transition to PoS,,True,6,6,6,True,True,True,True,RETAINED,
74,2022-09-20,Wintermute hack,Infrastructure,Wintermute DeFi exploit ($160M),160.0,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
75,2022-10-06,BNB bridge hack,Infrastructure,BNB Chain bridge exploit (~$570M),570.0,True,1,1,1,False,True,False,True,RETAINED,
76,2022-10-11,Mango Markets,Infrastructure,Mango Markets exploit ($117M),117.0,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
77,2022-11-02,FTX-Alameda leak,Infrastructure,CoinDesk reveals Alameda balance sheet,,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
78,2022-11-08,Binance FTX LOI,Infrastructure,Binance LOI to acquire FTX (later void),,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
79,2022-11-11,FTX bankrupt,Infrastructure,FTX files for bankruptcy; fraud revelations,8000.0,True,6,6,6,True,True,True,True,RETAINED,
80,2022-11-28,BlockFi bankruptcy,Infrastructure,BlockFi files Chapter 11,,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
81,2022-12-13,SBF arrest,Regulatory,SBF arrested in Bahamas; SEC/CFTC complaints,,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
82,2023-01-19,Genesis bankruptcy,Infrastructure,Genesis Global files Chapter 11,,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
83,2023-02-09,Kraken staking SEC,Regulatory,SEC settles with Kraken on staking ($30M),30.0,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
84,2023-02-13,Paxos/BUSD SEC,Regulatory,Paxos receives Wells notice for BUSD,,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
85,2023-03-08,Silvergate wind-down,Infrastructure,Silvergate Bank announces voluntary liquidation,,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
86,2023-03-10,USDC depeg (SVB),Infrastructure,SVB collapse; USDC briefly depegs,,True,3,3,3,True,True,True,True,RETAINED,
87,2023-03-13,Signature Bank closure,Infrastructure,Signature Bank closed by NY regulators,,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
88,2023-03-22,Euler hack,Infrastructure,"Euler Finance exploit ($197M, later returned)",197.0,False,3,3,3,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
89,2023-03-27,CFTC v Binance,Regulatory,CFTC sues Binance and CZ,,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
90,2023-04-12,ETH Shanghai,Infrastructure,Ethereum Shanghai (Shapella) enables withdrawals,,True,1,1,1,False,True,False,True,RETAINED,
91,2023-04-25,Bittrex SEC,Regulatory,SEC charges Bittrex; exchange exits US,,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
92,2023-06-05,SEC v Binance,Regulatory,SEC sues Binance (unregistered securities),,True,4,4,4,True,True,True,True,RETAINED,
93,2023-06-06,SEC v Coinbase,Regulatory,SEC sues Coinbase (unregistered securities),,True,4,4,4,True,True,True,True,RETAINED,
94,2023-06-15,BlackRock BTC ETF,Regulatory,BlackRock files for US spot Bitcoin ETF,,True,4,4,4,True,True,True,True,RETAINED,
95,2023-07-13,Ripple ruling,Regulatory,SEC v Ripple summary judgment (programmatic sales),,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
96,2023-07-30,Curve hack,Infrastructure,Curve / Vyper compiler exploit ($73M),73.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
97,2023-08-29,Grayscale win,Regulatory,Grayscale wins court case vs SEC (spot BTC ETF),,True,2,2,2,True,True,False,True,RETAINED,
98,2023-09-04,Mixin hack,Infrastructure,Mixin Network cloud-provider exploit ($200M),200.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
99,2023-09-12,Coinex hack,Infrastructure,CoinEx exchange hack (~$70M),70.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
100,2023-09-22,Stake.com hack,Infrastructure,Stake.com hot wallet hack ($41M),41.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
101,2023-10-01,EU MiCA passed,Regulatory,EU Parliament final passage of MiCA,,True,1,1,1,False,True,False,True,RETAINED,
102,2023-11-07,Poloniex hack,Infrastructure,Poloniex hack ($120M),120.0,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
103,2023-11-21,Binance/CZ $4.3B,Regulatory,Binance/CZ US$4.3B DOJ settlement,4300.0,True,3,3,3,True,True,True,True,RETAINED,
104,2023-11-22,HTX hack,Infrastructure,HTX (Huobi) hot wallet hack ($30M),30.0,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
105,2023-12-13,BIS crypto rules,Regulatory,BIS revises bank crypto exposure rules,,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
106,2024-01-10,US spot BTC ETFs,Regulatory,SEC approves 11 US spot Bitcoin ETFs,,True,5,5,5,True,True,True,True,RETAINED,
107,2024-01-22,Orbit bridge,Infrastructure,Orbit Chain bridge exploit ($82M),82.0,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
108,2024-02-09,PlayDapp hack,Infrastructure,PlayDapp exploit ($290M),290.0,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
109,2024-03-13,ETH Dencun,Infrastructure,Ethereum Dencun upgrade (EIP-4844 proto-danksharding),,True,6,6,6,True,True,True,True,RETAINED,
110,2024-04-20,BTC halving '24,Infrastructure,Bitcoin fourth halving (6.25 to 3.125 BTC),,True,1,1,1,False,True,False,True,RETAINED,
111,2024-05-23,US spot ETH OK,Regulatory,SEC approves exchange listings for spot ETH ETFs (19b-4),,True,0,0,0,False,False,False,True,RETAINED,
112,2024-05-31,DMM Bitcoin hack,Infrastructure,DMM Bitcoin Japan hack ($305M),305.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
113,2024-06-30,MiCA phase 1,Regulatory,EU MiCA phase 1 (stablecoin regime) takes effect,,True,0,0,0,False,False,False,True,RETAINED,
114,2024-07-18,Indodax hack,Infrastructure,Indodax exchange hack ($22M),22.0,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
115,2024-07-23,ETH ETFs trade,Infrastructure,US spot ETH ETFs begin trading,,True,0,0,0,False,False,False,True,RETAINED,
116,2024-08-05,Yen carry unwind,Infrastructure,Global risk-off; BTC drops 15% intraday,,False,6,6,6,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
117,2024-08-19,Ronin hack #2,Infrastructure,"Ronin bridge second exploit (~$12M, returned)",12.0,False,2,2,2,True,True,False,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
118,2024-09-18,BingX hack,Infrastructure,BingX exchange hack ($43M),43.0,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
119,2024-10-16,Radiant Capital hack,Infrastructure,Radiant Capital exploit ($53M),53.0,False,3,3,3,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
120,2024-11-22,SEC chair resign,Regulatory,Gensler announces resignation effective Jan 2025,,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
121,2024-11-27,Thala Labs hack,Infrastructure,"Thala Labs Aptos exploit ($25M, returned)",25.0,False,5,5,5,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
122,2025-01-20,Trump inauguration,Regulatory,"Trump inauguration, pro-crypto executive orders",,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
123,2025-01-23,Trump EO digital assets,Regulatory,"Executive Order: working group, no CBDC",,False,1,1,1,False,True,False,True,DROPPED_STAGE2,Only 1 asset(s) moved beyond 1 SD; need ≥2
124,2025-02-21,Bybit hack '25,Infrastructure,Bybit exchange hack (~$1.5B); DPRK attribution,1500.0,True,2,2,2,True,True,False,True,RETAINED,
125,2025-02-27,SEC drops Coinbase,Regulatory,SEC and Coinbase file joint stipulation to dismiss,,True,5,5,5,True,True,True,True,RETAINED,
126,2025-03-07,OCC IL 1183,Regulatory,OCC IL 1183 reaffirms permissible bank crypto activities,,True,3,3,3,True,True,True,True,RETAINED,
127,2025-03-21,Atkins SEC chair,Regulatory,Paul Atkins sworn in as SEC chair,,False,4,4,4,True,True,True,True,DROPPED_STAGE34,Passes impact filter; excluded at classification or overlap-handling stage
128,2025-04-04,SEC stablecoins stmt,Regulatory,SEC staff: certain payment stablecoins not securities,,True,2,2,2,True,True,False,True,RETAINED,
129,2025-04-30,Loopscale hack,Infrastructure,Loopscale Solana exploit ($5.8M),5.8,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
130,2025-05-07,ETH Pectra,Infrastructure,Ethereum Pectra hard fork activated on mainnet,,True,1,1,1,False,True,False,True,RETAINED,
131,2025-05-22,Cetus hack,Infrastructure,Cetus Protocol Sui exploit ($223M),223.0,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
132,2025-06-26,Stable IPO,Regulatory,Circle (USDC) IPO; stablecoin sector momentum,,False,0,0,0,False,False,False,True,DROPPED_STAGE2,"No asset moved beyond 1 SD in [-1,+1] window"
133,2025-07-18,GENIUS Act signed,Regulatory,First U.S. federal stablecoin framework enacted,,True,3,3,3,True,True,True,True,RETAINED,
134,2025-07-29,SEC in-kind ETPs,Regulatory,SEC allows in-kind creations/redemptions for crypto ETPs,,True,2,2,2,True,True,False,True,RETAINED,
135,2025-08-08,XRP case ends,Regulatory,XRP litigation concludes; appeals withdrawn,,True,3,3,3,True,True,True,True,RETAINED,
